blockIdx,trialIdx,scheduledHt,scheduledRwd,spentHt,responseBlockTime,trialEarnings,responseRT,blockTime
1,1,28,3,0,8.85,0,0.85,11
1,2,2,1,2,19.93333333,1,0.933333333,24
1,3,2,1,2,33.48333333,1,1.483333333,37
1,4,40,3,0,45.76666667,0,0.766666667,48
1,5,22,3,0,56.68333333,0,0.683333333,59
1,6,2,3,2,67.71666667,3,0.716666667,72
1,7,2,1,2,80.83333333,1,0.833333333,85
1,8,40,3,0,93.98333333,0,0.983333333,96
1,9,28,1,0,104.9,0,0.9,107
1,10,2,3,2,115.7,3,0.7,120
1,11,2,1,2,128.65,1,0.65,133
1,12,22,3,0,142.35,0,1.35,144
1,13,2,1,2,152.4833333,1,0.483333333,157
1,14,2,1,2,165.8,1,0.8,170
1,15,28,3,0,178.8166667,0,0.816666667,181
1,16,40,1,0,189.8333333,0,0.833333333,192
1,17,2,3,2,200.6333333,3,0.633333333,205
1,18,22,1,0,214.1833333,0,1.183333333,216
1,19,2,3,2,224.7666667,3,0.766666667,229
1,20,2,1,0,237.7166667,0,0.716666667,240
1,21,2,1,2,248.65,1,0.65,253
1,22,22,3,0,262.4833333,0,1.483333333,264
1,23,28,3,0,272.7333333,0,0.733333333,275
1,24,2,1,2,283.75,1,0.75,288
1,25,2,3,2,296.8333333,3,0.833333333,301
1,26,2,1,2,309.6833333,1,0.683333333,314
1,27,2,1,2,322.7166667,1,0.716666667,327
1,28,40,3,0,336.0166667,0,1.016666667,338
1,29,2,1,2,347,1,1,351
1,30,2,3,2,359.6833333,3,0.683333333,364
1,31,2,3,2,372.6333333,3,0.633333333,377
1,32,2,3,2,385.7,3,0.7,390
1,33,28,1,0,398.9666667,0,0.966666667,401
1,34,22,1,22,410.3166667,1,1.316666667,434
1,35,40,3,0,443.1333333,0,1.133333333,445
1,36,2,3,2,453.8166667,3,0.816666667,458
1,37,2,3,2,466.9,3,0.9,471
1,38,22,1,0,479.75,0,0.75,482
1,39,40,1,0,490.7333333,0,0.733333333,493
1,40,2,3,2,501.7666667,3,0.766666667,506
1,41,28,1,0,514.8,0,0.8,517
1,42,2,1,2,525.6666667,1,0.666666667,530
1,43,2,1,2,538.6666667,1,0.666666667,543
1,44,2,1,2,551.6,1,0.6,556
1,45,2,3,2,564.6666667,3,0.666666667,569
1,46,28,3,0,577.8333333,0,0.833333333,580
1,47,40,1,0,588.8333333,0,0.833333333,591
1,48,2,1,2,599.6833333,1,0.683333333,604
2,1,2,1,2,8.833333333,1,0.833333333,13
2,2,40,3,0,21.83333333,0,0.833333333,24
2,3,22,1,0,32.91666667,0,0.916666667,35
2,4,28,1,0,43.78333333,0,0.783333333,46
2,5,28,1,0,55.18333333,0,1.183333333,57
2,6,28,3,0,65.63333333,0,0.633333333,68
2,7,28,3,0,76.78333333,0,0.783333333,79
2,8,22,1,0,87.78333333,0,0.783333333,90
2,9,2,3,2,98.76666667,3,0.766666667,103
2,10,28,1,0,111.7166667,0,0.716666667,114
2,11,28,3,0,122.85,0,0.85,125
2,12,40,3,0,133.7,0,0.7,136
2,13,28,1,0,144.7666667,0,0.766666667,147
2,14,28,3,0,155.7833333,0,0.783333333,158
2,15,28,3,0,167.1666667,0,1.166666667,169
2,16,2,1,2,177.7,1,0.7,182
2,17,28,3,0,191.0833333,0,1.083333333,193
2,18,28,1,0,201.9166667,0,0.916666667,204
2,19,22,1,22,212.9833333,1,0.983333333,237
2,20,40,3,0,245.6833333,0,0.683333333,248
2,21,28,3,0,257.5833333,0,1.583333333,259
2,22,40,3,0,267.9166667,0,0.916666667,270
2,23,2,1,2,278.7333333,1,0.733333333,283
2,24,28,1,0,292.2166667,0,1.216666667,294
2,25,28,1,0,303.0833333,0,1.083333333,305
2,26,28,1,28,315.7333333,1,2.733333333,344
2,27,22,3,0,352.8833333,0,0.883333333,355
2,28,28,3,0,363.7666667,0,0.766666667,366
2,29,28,3,0,375,0,1,377
2,30,28,3,0,386.0166667,0,1.016666667,388
2,31,28,1,0,396.95,0,0.95,399
2,32,22,1,0,407.7333333,0,0.733333333,410
2,33,28,1,0,419.3,0,1.3,421
2,34,40,1,0,430.1,0,1.1,432
2,35,2,3,2,440.7,3,0.7,445
2,36,28,1,0,453.9,0,0.9,456
2,37,28,1,0,465.0833333,0,1.083333333,467
2,38,28,3,0,475.6333333,0,0.633333333,478
2,39,40,3,0,487.25,0,1.25,489
2,40,2,3,2,497.6666667,3,0.666666667,502
2,41,28,3,0,510.7833333,0,0.783333333,513
2,42,22,1,22,522.2333333,1,1.233333333,546
2,43,28,3,0,554.7833333,0,0.783333333,557
2,44,2,3,2,565.7666667,3,0.766666667,570
2,45,28,1,0,578.8833333,0,0.883333333,581
2,46,28,1,0,589.9166667,0,0.916666667,592
2,47,40,1,0,600.9166667,0,0.916666667,603
