blockIdx,trialIdx,scheduledHt,scheduledRwd,spentHt,responseBlockTime,trialEarnings,responseRT,blockTime,
1,1,28,3,0,8.85,0,0.85,11,
1,2,2,1,2,19.916666666666664,1,0.9166666666666666,24,
1,3,2,3,2,32.7,3,0.7,37,
1,4,22,1,0,47.266666666666666,0,2.2666666666666666,48,
1,5,2,3,2,56.61666666666667,3,0.6166666666666667,61,
1,6,2,1,2,69.73333333333333,1,0.7333333333333333,74,
1,7,40,1,0,82.76666666666667,0,0.7666666666666666,85,
1,8,2,1,2,93.7,1,0.7,98,
1,9,2,3,2,106.55,3,0.55,111,
1,10,2,1,2,119.51666666666667,1,0.5166666666666666,124,
1,11,2,3,2,132.6,3,0.6,137,
1,12,40,3,0,145.76666666666668,0,0.7666666666666666,148,
1,13,28,1,0,157.05,0,1.05,159,
1,14,22,3,0,168.06666666666666,0,1.0666666666666667,170,
1,15,2,3,2,178.66666666666666,3,0.6666666666666666,183,
1,16,28,3,0,191.6,0,0.6,194,
1,17,22,3,0,203.38333333333333,0,1.3833333333333333,205,
1,18,40,1,0,213.78333333333333,0,0.7833333333333333,216,
1,19,2,1,2,224.85,1,0.85,229,
1,20,2,3,2,237.76666666666668,3,0.7666666666666666,242,
1,21,2,1,2,250.65,1,0.65,255,
1,22,28,1,0,263.65,0,0.65,266,
1,23,2,1,2,274.6166666666667,1,0.6166666666666667,279,
1,24,2,3,2,287.48333333333335,3,0.48333333333333334,292,
1,25,2,3,2,300.56666666666666,3,0.5666666666666667,305,
1,26,22,1,0,313.8333333333333,0,0.8333333333333334,316,
1,27,40,3,0,324.7,0,0.7,327,
1,28,2,1,0,338,-2,nan,338,
1,29,2,1,2,346.65,1,0.65,351,
1,30,2,3,2,359.6,3,0.6,364,
1,31,2,3,2,372.55,3,0.55,377,
1,32,2,1,2,385.53333333333336,1,0.5333333333333333,390,
1,33,28,3,0,398.75,0,0.75,401,
1,34,22,1,0,409.71666666666664,0,0.7166666666666667,412,
1,35,40,1,0,420.6333333333333,0,0.6333333333333333,423,
1,36,2,1,2,431.6,1,0.6,436,
1,37,2,3,2,444.56666666666666,3,0.5666666666666667,449,
1,38,2,3,2,457.56666666666666,3,0.5666666666666667,462,
1,39,28,3,0,470.71666666666664,0,0.7166666666666667,473,
1,40,40,3,0,481.65,0,0.65,484,
1,41,2,1,2,492.6166666666667,1,0.6166666666666667,497,
1,42,22,1,0,505.95,0,0.95,508,
1,43,2,1,2,516.5333333333333,1,0.5333333333333333,521,
1,44,2,1,2,529.4833333333333,1,0.48333333333333334,534,
1,45,2,3,2,542.75,3,0.75,547,
1,46,40,3,0,555.5666666666667,0,0.5666666666666667,558,
1,47,28,3,0,566.6333333333333,0,0.6333333333333333,569,
1,48,22,1,0,577.75,0,0.75,580,
1,49,2,3,2,588.5666666666667,3,0.5666666666666667,593,
1,50,2,3,2,601.5333333333333,3,0.5333333333333333,606,
2,1,22,1,22,8.65,1,0.65,33,
2,2,28,3,0,41.75,0,0.75,44,
2,3,28,3,0,52.63333333333333,0,0.6333333333333333,55,
2,4,28,1,0,63.900000000000006,0,0.9,66,
2,5,2,3,2,74.61666666666666,3,0.6166666666666667,79,
2,6,28,3,0,89.1,0,2.1,90,
2,7,40,1,0,98.71666666666667,0,0.7166666666666667,101,
2,8,2,1,2,109.6,1,0.6,114,
2,9,28,3,0,122.66666666666667,0,0.6666666666666666,125,
2,10,22,3,0,134.1,0,1.1,136,
2,11,40,1,0,144.83333333333334,0,0.8333333333333334,147,
2,12,28,1,0,155.85,0,0.85,158,
2,13,28,3,0,167.1,0,1.1,169,
2,14,28,1,0,177.71666666666667,0,0.7166666666666667,180,
2,15,2,3,2,188.55,3,0.55,193,
2,16,28,1,0,201.95,0,0.95,204,
2,17,28,1,0,212.58333333333334,0,0.5833333333333334,215,
2,18,28,3,0,224.26666666666668,0,1.2666666666666666,226,
2,19,22,1,0,235.16666666666666,0,1.1666666666666667,237,
2,20,28,1,0,245.8,0,0.8,248,
2,21,40,1,0,256.6166666666667,0,0.6166666666666667,259,
2,22,40,3,0,267.6,0,0.6,270,
2,23,22,3,22,278.68333333333334,3,0.6833333333333333,303,
2,24,28,3,0,311.6,0,0.6,314,
2,25,28,1,0,323.1333333333333,0,1.1333333333333333,325,
2,26,28,3,0,333.6666666666667,0,0.6666666666666666,336,
2,27,28,1,0,344.68333333333334,0,0.6833333333333333,347,
2,28,2,3,2,355.6,3,0.6,360,
2,29,40,3,0,368.75,0,0.75,371,
2,30,28,1,0,380.31666666666666,0,1.3166666666666667,382,
2,31,22,3,22,390.93333333333334,3,0.9333333333333333,415,
2,32,28,1,0,423.5833333333333,0,0.5833333333333334,426,
2,33,28,1,0,434.8,0,0.8,437,
2,34,2,1,2,446.1,1,1.1,450,
2,35,28,1,0,458.75,0,0.75,461,
2,36,2,3,2,469.55,3,0.55,474,
2,37,28,1,0,482.7,0,0.7,485,
2,38,28,3,0,493.6333333333333,0,0.6333333333333333,496,
2,39,22,1,22,504.8333333333333,1,0.8333333333333334,529,
2,40,28,3,0,538.3166666666667,0,1.3166666666666667,540,
2,41,28,3,0,548.7166666666667,0,0.7166666666666667,551,
2,42,40,3,0,559.7,0,0.7,562,
2,43,28,3,0,570.8166666666667,0,0.8166666666666667,573,
2,44,40,1,0,581.7333333333333,0,0.7333333333333333,584,
2,45,28,1,0,592.7833333333333,0,0.7833333333333333,595,
2,46,28,3,0,604.2,0,1.2,606,
